"","Submission.ID","Common.Name","Scientific.Name","State.Province","Location","Date","TAXON_ORDER","CATEGORY","SPECIES_CODE","TAXON_CONCEPT_ID","PRIMARY_COM_NAME","ORDER","FAMILY","SPECIES_GROUP","REPORT_AS","SCI_NAME"
"62","S244772976","Eurasian Jay (Himalayan)","Garrulus glandarius","CN-33","杭州植物园 (Hangzhou Botanical Garden)","2025-05-31",21339,"species","eurjay7","avibase-avibase-D8D10F2C","Eurasian Jay","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens","","Garrulus glandarius"
"63","S251511693","Eurasian Jay (Himalayan)","Garrulus glandarius","CN-33","杭州植物园 (Hangzhou Botanical Garden)","2025-06-18",21339,"species","eurjay7","avibase-avibase-D8D10F2C","Eurasian Jay","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens","","Garrulus glandarius"
"64","S241780479","Oak Titmouse","Baeolophus inornatus","US-OR","Roxy Ann Butte/Prescott Park","2025-05-23",22150,"species","oaktit","avibase-avibase-715D4DDE","Oak Titmouse","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice","",NA
"65","S269286647","Oak Titmouse","Baeolophus inornatus","US-CA","Canyonside Community Park","2025-08-24",22150,"species","oaktit","avibase-avibase-715D4DDE","Oak Titmouse","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice","",NA
"66","S260018837","Ethiopian Swallow","Hirundo aethiopica","KE-300","Sabaki River Estuary","2025-07-15",24203,"species","ethswa1","avibase-avibase-42E93B64","Ethiopian Swallow","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows","",NA
"67","S249424867","Eastern Red-rumped Swallow","Cecropis daurica","CN-33","xxl home","2025-06-11",24239,"species","y00621","avibase-avibase-6FE118C6","Eastern Red-rumped Swallow","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows","",NA
"68","S248761688","Eastern Red-rumped Swallow (Daurian)","Cecropis daurica","CN-33","061025 GGWA","2025-06-10",24239,"species","errswa1","avibase-avibase-6FE118C6","Eastern Red-rumped Swallow","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows","","Cecropis daurica"
"69","S249052688","Eastern Red-rumped Swallow (Daurian)","Cecropis daurica","CN-33","寺坞岭群山 (Siwuling Mountains)","2025-06-11",24239,"species","errswa1","avibase-avibase-6FE118C6","Eastern Red-rumped Swallow","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows","","Cecropis daurica"
"70","S250862058","Eastern Red-rumped Swallow (Daurian)","Cecropis daurica","CN-33","杭州植物园 (Hangzhou Botanical Garden)","2025-06-16",24239,"species","errswa1","avibase-avibase-6FE118C6","Eastern Red-rumped Swallow","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows","","Cecropis daurica"
"71","S257732750","Mosque Swallow","Cecropis senegalensis","TZ-13","Auto selected -1.58551, 35.07866","2025-07-07",24265,"species","mosswa2","avibase-avibase-9185D29D","Mosque Swallow","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows","",NA
